"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J8,J7,J2";"PinHeader_1x10_P2.54mm_Vertical";3;"Conn_01x10";;;
2;"J4,J5,J6,J3";"PinHeader_2x15_P2.54mm_Vertical";4;"Conn_02x15_Counter_Clockwise";;;
3;"U1,U2";"DIP-16_W7.62mm_Socket_LongPads";2;"74LS139";;;
4;"J1";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Counter_Clockwise";;;
5;"U4,U3";"DIP-20_W7.62mm_Socket_LongPads";2;"74LS377";;;
